jira号,执行结果,触发时间,执行时间,分析耗时,分析结果,备注
VCU-208319,成功,2025-06-05 13:17:40,2026-09-21 20:11:12,1054.12s,成功,
VCU-209287,成功,2025-06-16 14:40:00,2026-09-21 20:11:12,1338.67s,成功,
VCU-210501,成功,2025-06-26 14:53:00,2026-09-21 20:11:12,942.93s,成功,
VCU-210963,成功,2025-06-11 14:42:00,2026-09-21 20:11:12,925.02s,成功,
VCU-211418,成功,2025-06-04 13:19:12,2026-09-21 20:11:12,1210.85s,成功,
VCU-213292,成功,2025-06-16 13:48:28,2026-09-21 20:11:12,1276.33s,成功,
VCU-213373,成功,2025-06-04 13:20:00,2026-09-21 20:11:12,279.08s,成功,
VCU-213787,成功,2025-06-10 10:23:00,2026-09-21 20:11:12,1225.46s,成功,
VCU-217059,成功,2025-07-27 17:30:00,2026-09-21 20:11:12,9.87s,失败,
VCU-217118,成功,2025-07-25 10:59:00,2026-09-21 20:11:12,256.72s,成功,
VCU-224538,成功,2025-07-12 20:09:00,2026-09-21 20:11:12,839.13s,成功,
VCU-225011,成功,2025-06-30 19:43:00,2026-09-21 20:11:12,1356.1s,成功,
VCU-225431,成功,2025-07-01 14:22:00,2026-09-21 20:11:12,765.3s,成功,
VCU-225526,成功,2025-07-08 13:43:00,2026-09-21 20:11:12,39.26s,失败,
VCU-226815,成功,2025-08-18 19:10:00,2026-09-21 20:11:12,1044.37s,成功,
VCU-228937,成功,2025-08-19 19:22:00,2026-09-21 20:11:12,204.06s,失败,
VCU-230215,成功,2025-08-12 11:25:00,2026-09-21 20:11:12,7.46s,失败,
VCU-230728,成功,2025-07-30 21:44:22,2026-09-21 20:11:12,13.62s,失败,
VCU-231874,成功,2025-08-01 16:07:00,2026-09-21 20:11:12,1154.14s,成功,
VCU-234676,成功,2025-09-12 13:40:00,2026-09-21 20:11:12,159.6s,失败,
VCU-234810,成功,2025-09-11 23:42:00,2026-09-21 20:11:12,845.44s,成功,
VCU-235686,成功,2025-09-20 18:09:49,2026-09-21 20:11:12,1103.81s,成功,
VCU-237392,成功,2025-09-09 12:01:00,2026-09-21 20:11:12,175.55s,失败,
VCU-239935,成功,2025-10-11 13:36:00,2026-09-21 20:11:12,14.48s,失败,
VCU-240936,成功,2025-10-14 13:54:00,2026-09-21 20:11:12,10.95s,失败,
VCU-241287,成功,2025-10-23 13:34:00,2026-09-21 20:11:12,55.38s,失败,
VCU-243084,成功,2025-11-13 14:13:00,2026-09-21 20:11:12,1084.17s,成功,
