jira号,执行结果,触发时间,执行时间,分析耗时,分析结果,备注
VCU-536887,成功,2026-08-25 15:08:00,2026-09-17 13:43:14,4.27s,失败,
VCU-537814,成功,2026-08-27 13:44:39,2026-09-17 13:43:14,563.78s,成功,
VCU-537953,成功,2026-08-27 14:58:00,2026-09-17 13:43:14,4.76s,失败,
VCU-540356,成功,2026-09-02 16:31:00,2026-09-17 13:43:14,3.78s,失败,
VCU-540513,成功,2026-09-02 11:44:06,2026-09-17 13:43:14,574.9s,成功,
VCU-540546,成功,2026-09-02 13:31:00,2026-09-17 14:56:53,64.11s,失败,
VCU-540797,成功,2026-09-02 14:33:00,2026-09-17 14:56:53,40.18s,失败,
VCU-541325,成功,2026-09-03 15:50:00,2026-09-17 14:56:53,418.9s,成功,
VCU-541458,成功,2026-09-03 15:21:00,2026-09-17 14:56:53,58.03s,失败,
VCU-542097,成功,2026-09-04 15:27:00,2026-09-17 14:56:53,436.01s,成功,
VCU-542150,成功,2026-09-04 15:26:49,2026-09-17 14:56:53,465.32s,成功,
VCU-543127,成功,2026-09-07 15:37:00,2026-09-17 14:56:53,451.89s,成功,
VCU-543577,成功,2026-09-08 13:28:00,2026-09-17 14:56:53,305.11s,成功,
VCU-543810,成功,2026-09-08 16:55:39,2026-09-17 14:56:53,46.24s,失败,
VCU-545334,成功,2026-09-09 21:33:00,2026-09-17 14:56:53,474.93s,成功,
