jira号,执行结果,触发时间,执行时间,分析耗时,分析结果,备注
VCU-117701,成功,2023-10-25 10:21:13,2026-09-22 22:26:29,1384.15s,成功,
VCU-167837,成功,2024-08-20 22:55:00,2026-09-22 22:26:29,212.75s,成功,
VCU-174189,成功,2024-09-27 15:09:07,2026-09-22 22:43:17,390.16s,成功,
VCU-174707,成功,2024-10-16 14:44:42,2026-09-22 22:43:17,508.82s,成功,
VCU-176110,成功,2025-04-01 10:27:00,2026-09-22 22:43:17,529.73s,成功,
VCU-185379,成功,2025-01-16 15:08:00,2026-09-22 22:26:29,257.98s,成功,
VCU-187528,成功,2025-01-23 13:15:00,2026-09-22 22:43:17,110.3s,失败,
VCU-188538,成功,2025-03-20 15:39:33,2026-09-22 22:26:29,57.48s,失败,
VCU-193870,成功,2025-03-12 20:15:09,2026-09-22 22:43:17,685.02s,成功,
VCU-196070,成功,2025-04-28 10:33:38,2026-09-22 22:26:29,432.54s,成功,
VCU-199794,成功,2025-04-08 12:52:52,2026-09-22 22:43:17,166.95s,失败,
VCU-200111,成功,2025-04-01 19:32:00,2026-09-22 22:26:29,44.19s,成功,
VCU-201068,成功,2025-04-01 19:49:48,2026-09-22 22:26:29,116.17s,成功,
VCU-201240,成功,2025-05-09 15:21:00,2026-09-22 22:26:29,651.53s,成功,
VCU-202844,成功,2025-05-27 14:46:46,2026-09-22 22:43:17,86.24s,失败,
VCU-205250,成功,2025-05-22 11:17:59,2026-09-22 22:26:29,101.1s,成功,
VCU-205937,成功,2025-05-09 17:29:28,2026-09-22 22:43:17,772.12s,成功,
VCU-206377,成功,2025-05-08 15:15:33,2026-09-22 22:43:17,985.98s,成功,
VCU-207326,成功,2025-06-18 05:20:31,2026-09-22 22:26:29,156.95s,成功,
VCU-207947,成功,2025-06-27 16:31:00,2026-09-22 22:43:17,84.7s,成功,
VCU-208182,成功,2025-06-03 17:10:00,2026-09-22 22:26:29,226.35s,成功,
VCU-209464,成功,2025-07-21 02:10:55,2026-09-22 22:43:17,1437.72s,成功,
VCU-209680,成功,2025-06-12 18:02:27,2026-09-22 22:26:29,187.78s,成功,
VCU-211256,成功,2025-06-03 17:44:00,2026-09-22 22:26:29,286.2s,成功,
