jira号,执行结果,触发时间,执行时间,分析耗时,分析结果,备注
VCU-536517,成功,2026-08-25 10:00:01,2026-09-14 14:58:53,67.31s,失败,
VCU-536539,成功,2026-08-25 10:33:31,2026-09-14 14:58:53,3600.29s,失败,
VCU-536600,成功,2026-08-25 13:25:34,2026-09-14 17:53:59,1195.4s,失败,
VCU-536628,成功,2026-08-25 13:53:20,2026-09-14 14:58:53,3600.43s,失败,
VCU-536641,成功,2026-08-25 14:07:27,2026-09-14 14:58:53,3599.63s,失败,
VCU-536645,成功,2026-08-25 14:11:46,2026-09-14 14:58:53,3240.5s,失败,
VCU-536673,成功,2026-08-25 14:29:13,2026-09-14 14:58:53,3600.27s,失败,
VCU-536810,成功,2026-08-25 16:22:28,2026-09-14 17:53:59,,成功,
VCU-536832,成功,2026-08-25 16:34:14,2026-09-14 17:53:59,3600.08s,失败,
VCU-536867,成功,2026-08-25 16:53:54,2026-09-14 14:58:53,3418.4s,失败,
VCU-536879,成功,2026-08-25 17:00:37,2026-09-14 17:53:59,2392.98s,失败,
VCU-536887,成功,2026-08-25 17:06:47,2026-09-14 17:53:59,4.27s,失败,
VCU-536888,成功,2026-08-25 17:07:28,2026-09-14 14:58:53,3592.41s,失败,
VCU-537012,成功,2026-08-25 19:06:09,2026-09-14 14:58:53,263.36s,失败,
VCU-537031,成功,2026-08-25 19:37:50,2026-09-14 14:58:53,606.96s,失败,
VCU-537088,成功,2026-08-26 10:14:21,2026-09-14 14:58:53,315.74s,失败,
VCU-537095,成功,2026-08-26 10:22:25,2026-09-14 17:53:59,,成功,
VCU-537110,成功,2026-08-26 10:41:54,2026-09-14 14:58:53,2691.6s,失败,
VCU-537120,成功,2026-08-26 10:44:13,2026-09-14 14:58:53,3499.55s,失败,
VCU-537250,成功,2026-08-26 14:29:22,2026-09-14 17:53:59,,成功,
VCU-537307,成功,2026-08-26 15:05:14,2026-09-14 14:58:53,3600.1s,失败,
VCU-537644,成功,2026-08-27 10:02:38,2026-09-14 17:53:59,,成功,
VCU-537652,成功,2026-08-27 10:18:25,2026-09-14 14:58:53,347.71s,失败,
VCU-537801,成功,2026-08-27 13:39:05,2026-09-14 14:58:53,3204.47s,失败,
VCU-537842,成功,2026-08-27 14:27:49,2026-09-14 17:53:59,,成功,
VCU-537860,成功,2026-08-27 14:33:50,2026-09-14 17:53:59,3600.01s,失败,
VCU-537867,成功,2026-08-27 14:38:04,2026-09-14 14:58:53,254.41s,失败,
VCU-537936,成功,2026-08-27 15:41:16,2026-09-14 17:53:59,3599.79s,失败,
VCU-537953,成功,2026-08-27 16:03:26,2026-09-14 17:53:59,4.76s,失败,
VCU-538000,成功,2026-08-27 16:28:54,2026-09-14 17:53:59,,成功,
VCU-538077,成功,2026-08-27 17:02:47,2026-09-14 14:58:53,3600.28s,失败,
VCU-538108,成功,2026-08-27 17:16:33,2026-09-14 14:58:53,288.16s,失败,
VCU-538328,成功,2026-08-28 10:44:48,2026-09-14 17:53:59,,成功,
VCU-538425,成功,2026-08-28 14:23:22,2026-09-14 17:53:59,2265.71s,成功,
VCU-538495,成功,2026-08-28 15:44:20,2026-09-14 17:53:59,3599.85s,失败,
VCU-538580,成功,2026-08-28 16:42:47,2026-09-14 14:58:53,244.0s,失败,
VCU-538594,成功,2026-08-28 16:50:24,2026-09-14 17:53:59,,成功,
VCU-538600,成功,2026-08-28 16:54:45,2026-09-14 14:58:53,45.13s,成功,
VCU-538692,成功,2026-08-28 17:42:02,2026-09-14 14:58:53,289.26s,失败,
VCU-539142,成功,2026-08-31 15:09:35,2026-09-14 17:53:59,3600.18s,失败,
VCU-539233,成功,2026-08-31 16:26:19,2026-09-14 17:53:59,1407.14s,失败,
VCU-539318,成功,2026-08-31 17:17:42,2026-09-14 17:53:59,3600.1s,失败,
VCU-539716,成功,2026-09-01 13:29:02,2026-09-14 17:53:59,,成功,
VCU-539760,成功,2026-09-01 14:06:35,2026-09-14 14:58:53,2745.45s,失败,
VCU-539761,成功,2026-09-01 14:07:31,2026-09-14 17:53:59,,成功,
VCU-539768,成功,2026-09-01 14:11:30,2026-09-14 14:58:53,205.26s,失败,
VCU-539858,成功,2026-09-01 15:33:03,2026-09-14 14:58:53,296.2s,失败,
VCU-539868,成功,2026-09-01 15:44:34,2026-09-14 14:58:53,7.98s,失败,
VCU-539911,成功,2026-09-01 16:20:07,2026-09-14 14:58:53,342.41s,成功,
VCU-539963,成功,2026-09-01 16:44:57,2026-09-14 17:53:59,3600.13s,失败,
VCU-540003,成功,2026-09-01 16:57:11,2026-09-14 17:53:59,3600.13s,失败,
VCU-540051,成功,2026-09-01 17:17:42,2026-09-14 17:53:59,256.99s,成功,
VCU-540432,成功,2026-09-02 10:27:34,2026-09-14 14:58:53,3600.08s,失败,
VCU-540446,成功,2026-09-02 10:44:47,2026-09-14 14:58:53,291.71s,失败,
VCU-540462,成功,2026-09-02 11:00:34,2026-09-14 14:58:53,3600.27s,失败,
VCU-540463,成功,2026-09-02 11:00:50,2026-09-14 14:58:53,2393.49s,失败,
VCU-540485,成功,2026-09-02 11:30:45,2026-09-14 14:58:53,1715.12s,失败,
VCU-540520,成功,2026-09-02 13:26:32,2026-09-14 14:58:53,235.21s,失败,
VCU-540539,成功,2026-09-02 13:44:40,2026-09-14 17:53:59,,成功,
VCU-540559,成功,2026-09-02 13:59:53,2026-09-14 17:53:59,337.28s,成功,
VCU-540714,成功,2026-09-02 15:48:25,2026-09-14 14:58:53,929.55s,成功,
VCU-540719,成功,2026-09-02 15:52:37,2026-09-14 17:53:59,2927.3s,失败,
VCU-540792,成功,2026-09-02 16:40:33,2026-09-14 14:58:53,1475.05s,失败,
VCU-540796,成功,2026-09-02 16:40:57,2026-09-14 17:53:59,3600.4s,失败,
VCU-540885,成功,2026-09-02 17:19:03,2026-09-14 17:53:59,3600.12s,失败,
VCU-540900,成功,2026-09-02 17:27:34,2026-09-14 14:58:53,414.78s,失败,
VCU-540905,成功,2026-09-02 17:32:34,2026-09-14 17:53:59,,成功,
VCU-540918,成功,2026-09-02 17:43:10,2026-09-14 14:58:53,104.05s,失败,
VCU-540931,成功,2026-09-02 17:49:26,2026-09-14 17:53:59,1730.13s,失败,
VCU-541191,成功,2026-09-03 14:33:45,2026-09-14 14:58:53,2410.18s,失败,
VCU-541203,成功,2026-09-03 14:44:03,2026-09-14 17:53:59,1901.47s,失败,
VCU-541205,成功,2026-09-03 14:44:17,2026-09-14 14:58:53,176.48s,失败,
