jira号,执行结果,触发时间,执行时间,分析耗时,分析结果,备注
VCU-536780,成功,2026-08-25 14:36:33,2026-09-19 10:14:03,523.13s,成功,
VCU-536869,成功,2026-08-25 14:41:59,2026-09-19 10:14:03,670.4s,成功,
VCU-537315,成功,2026-08-25 17:15:43,2026-09-19 10:14:03,607.17s,成功,
VCU-537377,成功,2026-08-26 14:08:00,2026-09-19 10:14:03,656.67s,成功,
VCU-537459,成功,2026-08-26 12:57:59,2026-09-19 10:14:03,502.94s,成功,
VCU-538668,成功,2026-08-28 15:48:55,2026-09-19 10:14:03,478.53s,成功,
VCU-539038,成功,2026-08-28 17:10:51,2026-09-19 10:14:03,754.18s,成功,
VCU-539956,成功,2026-09-01 15:44:47,2026-09-19 10:14:03,716.48s,成功,
VCU-540395,成功,2026-09-01 16:28:02,2026-09-19 10:14:03,476.34s,成功,
VCU-540502,成功,2026-09-01 18:50:11,2026-09-19 10:14:03,657.59s,成功,
VCU-540778,成功,2026-09-02 09:58:49,2026-09-19 10:14:03,463.68s,成功,
VCU-540855,成功,2026-09-02 16:00:32,2026-09-19 10:14:03,908.9s,成功,
VCU-542047,成功,2026-09-03 15:41:26,2026-09-19 10:14:03,850.88s,成功,
VCU-542404,成功,2026-09-03 14:21:47,2026-09-19 10:14:03,391.97s,成功,
VCU-542412,成功,2026-09-03 13:44:18,2026-09-19 10:14:03,589.75s,成功,
VCU-544541,成功,2026-09-09 16:55:41,2026-09-19 10:14:03,825.1s,成功,
VCU-545433,成功,2026-09-11 10:34:22,2026-09-19 10:14:03,578.23s,成功,
VCU-545937,成功,2026-09-12 10:39:47,2026-09-19 10:14:03,606.51s,成功,
VCU-547157,成功,2026-09-15 15:50:40,2026-09-19 10:14:03,622.6s,成功,
VCU-547604,成功,2026-09-16 15:15:46,2026-09-19 10:14:03,1094.56s,成功,
