jira号,rootcause,AI评论总结,结果置信度,达标,原因
VCU-124922,非VCU问题,HMIC进程崩溃重启 [详情: D:\program16\docs\2026-08-28\VCU-124922_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.0<0.7
VCU-144388,E2UL无自动远光灯，setting里面不该有自动远光灯界面,标定参数P_VEHICLE_CONTRO [详情: D:\program16\docs\2026-08-28\VCU-144388_comments.md],0.878,是,
VCU-151780,按照 CR 844023 删除远程控制类,远程控制设置项存在性缺陷 [详情: D:\program16\docs\2026-08-28\VCU-151780_comments.md],0.503,是,
VCU-154979,远程天窗控制的available信号长时间为false，有时会跳变成true但很快又变成false，所以不显示，需要对手件确认。,根因：可用性信号晚于操作值信号到达 [详情: D:\program16\docs\2026-08-28\VCU-154979_comments.md],0.846,是,
VCU-155122,Observable.zip 导致异常信息变更,根因：RxJava操作符误用 [详情: D:\program16\docs\2026-08-28\VCU-155122_comments.md],0.752,是,
VCU-157809,便利上车和遍历下车的available信号都是false，不可用状态，请对手件确认。,VHAL信号未置位或广播异常 [详情: D:\program16\docs\2026-08-28\VCU-157809_comments.md],0.65,是,
VCU-162230,无售后问题抱怨，且问题感知度极低,车辆信号上报功能不可用 [详情: D:\program16\docs\2026-08-28\VCU-162230_comments.md],0.525,否,置信度0.525<0.7，语义相似度0.661<0.7
VCU-163127,在冷启动过程中，存在底层信号紊乱，导致一开始进程获取的菜单的available可能不正确，导致tab不显示,PN唤醒信号异常导致菜单加载不完整 [详情: D:\program16\docs\2026-08-28\VCU-163127_comments.md],0.52,否,置信度0.52<0.7，语义相似度0.15<0.7
VCU-164457,需求要求：快捷控制编辑态无需展示按键的状态，预览区和仓库中的按键应统一显示为 Normal状态。 且自动远光灯之前就为打开的状态，INC进入编辑态后，自动远光灯与其他按钮一起进入Normal状态，符合需求。,自动远光灯QSItem未接入车辆信号监听 [详情: D:\program16\docs\2026-08-28\VCU-164457_comments.md],0.533,是,
VCU-165996,没有同步自动除雾/自动座椅加热/自动座椅通风设置项,个性化设置同步链路缺陷 [详情: D:\program16\docs\2026-08-28\VCU-165996_comments.md],0.525,是,
VCU-181064,"557 上无远端控制车机wifi开关功能,当前判断了有该功能后return，导致修改Wifi用户名密码部分代码没有被执行。",根因：TBOX协议版本差异（557未按4 [详情: D:\program16\docs\2026-08-28\VCU-181064_comments.md],0.564,是,
VCU-193670,测试延期,车端APP数据生成或上报逻辑异常 [详情: D:\program16\docs\2026-08-28\VCU-193670_comments.md],0.664,是,
VCU-194386,main1台架无法休眠,根因：平台至车端指令传输链路消息丢失 [详情: D:\program16\docs\2026-08-28\VCU-194386_comments.md],0.618,是,
VCU-194755,测试延期,日志证据缺失，根因无法从评论中确认 [详情: D:\program16\docs\2026-08-28\VCU-194755_comments.md],0.849,是,
VCU-194837,测试延期，待下版本重新测试,未连接对手件导致底层ECU无响应 [详情: D:\program16\docs\2026-08-28\VCU-194837_comments.md],0.509,是,
VCU-197848,车端变更座椅远控接口,根因：车端状态机模式切换处理逻辑异常 [详情: D:\program16\docs\2026-08-28\VCU-197848_comments.md],0.933,是,
VCU-198299,未复现,云端日志覆盖导致链路不可测，问题未复现 [详情: D:\program16\docs\2026-08-28\VCU-198299_comments.md],0.935,是,
VCU-198434,代码问题,车端CoreService数据接收缺失 [详情: D:\program16\docs\2026-08-28\VCU-198434_comments.md],0.917,是,
VCU-199058,代码逻辑,根因：模式字段未重置及UI层未联动判断 [详情: D:\program16\docs\2026-08-28\VCU-199058_comments.md],0.895,是,
VCU-205023,ND车型空调的标定与557不一样，标定不同AREAID不同，所以需要通过标定来动态修改areaid,根因：字段丢失与状态判断逻辑缺陷 [详情: D:\program16\docs\2026-08-28\VCU-205023_comments.md],0.522,是,
VCU-205835,冷启动时 通信代理与其他core service客户端启动时间不一致， 收到云端请求时，远控服务还未启动,根因：VCU休眠导致唤醒指令不可达 [详情: D:\program16\docs\2026-08-28\VCU-205835_comments.md],0.935,是,
VCU-206038,冷启动时 通信代理与其他core service客户端启动时间不一致， 收到云端请求时，远控服务还未启动 ，远控服务启动太慢导致无法接收指令,根因：RPC服务URI未注册 [详情: D:\program16\docs\2026-08-28\VCU-206038_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.0<0.7
VCU-209484,同1063283 原因,根因：VCU未发起远程启动请求 [详情: D:\program16\docs\2026-08-28\VCU-209484_comments.md],0.935,是,
VCU-210499,local 8155 property未成功集成进版本，需要用0725及以后版本复测 setusageprofile和vehiclemode都注册了CAN信号PatacProperty.<i>SYSTEM_POWER_MODE；</i>当信号信号回调时在仅触发了setusageprofile，没有触发vehiclemode；,根因：属性未注册且服务端路由缺失 [详情: D:\program16\docs\2026-08-28\VCU-210499_comments.md],0.513,否,置信度0.513<0.7，语义相似度0.35<0.7
VCU-210539,同 1063283 相同需求原因同 1063283 相同解决方案,云端请求未下发至车端 [详情: D:\program16\docs\2026-08-28\VCU-210539_comments.md],0.919,是,
VCU-215765,WAD,安吉星未注册致唤醒失败，预约充电屏幕逻辑 [详情: D:\program16\docs\2026-08-28\VCU-215765_comments.md],0.928,是,
VCU-217787,立即充电模式下车端上报开始/结束时间为00，覆盖了手机端缓存数据,立即充电指令未携带时间参数，车端沿用预约 [详情: D:\program16\docs\2026-08-28\VCU-217787_comments.md],0.528,是,
VCU-218521,代码原因,根因：CE出车前处理导致pub延迟 [详情: D:\program16\docs\2026-08-28\VCU-218521_comments.md],0.846,是,
VCU-218867,动效逻辑错误 与1087515问题一样,根因：信号处理链路中断或状态更新逻辑缺陷 [详情: D:\program16\docs\2026-08-28\VCU-218867_comments.md],0.91,是,
VCU-220600,网络原因,根因：someip链路未通，需刷新swi [详情: D:\program16\docs\2026-08-28\VCU-220600_comments.md],0.541,否,置信度0.541<0.7，语义相似度0.15<0.7
VCU-221066,第三方问题,根因：模板变量替换失败致inhibit值 [详情: D:\program16\docs\2026-08-28\VCU-221066_comments.md],0.887,是,
